X,Y,LINEA,QUADRO,RECNO,PALO,ARMATURA,LAMPADA,indirizzo,Data_Attiv
18.194640013580887,40.460917834386585,C,52,1,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dell'Erica,
18.194253885961654,40.460940586986808,C,52,2,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dell'Erica,
18.193796160037717,40.46095324682198,C,52,3,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dell'Erica,
18.19291398867685,40.461013855777452,C,52,5,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Dell'Erica,
18.193386070533794,40.460970623394289,C,52,4,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dell'Erica,
18.194777270035804,40.460479458784349,B,52,1,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Cedro,
18.194311655704691,40.460492338864391,B,52,2,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Cedro,
18.193822937232145,40.460517927669223,B,52,3,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Cedro,
18.193468092863565,40.460533776617673,B,52,4,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Cedro,
18.194815934189077,40.460128311983794,A,52,1,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Pesco,
18.194287474242831,40.460148966352968,A,52,2,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Pesco,
18.193830896670704,40.460185737764583,A,52,3,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Pesco,
18.194757785864443,40.459568589968782,A,52,5,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Corniolo,
18.193685948007637,40.459628415665009,A,52,7,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Corniolo,
18.193475482632508,40.460189530844104,A,52,4,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Pesco,
18.194292177813153,40.459581469732342,A,52,6,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Corniolo,
18.194670819552357,40.458901020426744,A,52,8,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Peschenoci,
18.194236782417541,40.458913026555962,A,52,9,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Peschenoci,
18.193787819012542,40.458943551294794,A,52,10,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Delle Peschenoci,
18.19501668582193,40.460611658896788,D,52,1,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.195008921601517,40.460364370528801,D,52,2,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194997729671996,40.460129318308411,D,52,3,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194990757541664,40.459815648910684,D,52,4,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194971606382534,40.459411779241726,D,52,5,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194963769419974,40.459161501074014,D,52,6,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194940799424558,40.458428793846863,D,52,8,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194954323154395,40.458796604376062,D,52,7,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194926682808109,40.457964426664496,D,52,9,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.194909248150793,40.457596724289104,D,52,10,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.195229171853054,40.459344294988099,D,52,11,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Dell'Uva,
18.19567956638766,40.459343904074345,D,52,12,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dell'Uva,
18.195906593931419,40.45913240385152,D,52,13,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Uva Regina,
18.195890296856742,40.458788813506523,D,52,14,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Uva Regina,
18.195828882940166,40.457993785654459,D,52,15,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Uva Sultanina,
18.195486292467912,40.457767869001955,D,52,16,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Uva Sultanina,
18.194787511027691,40.45719569248817,D,52,17,Palo Rastremato Zincato 12,Nova,Sodio AP 250,Via Zefiro,
18.1943155895083,40.456574986139913,D,52,18,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.194289241307239,40.456554474867168,D,52,19,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.194299939912,40.456530691839752,D,52,20,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.194322876692333,40.456515603806139,D,52,21,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.194351478539577,40.45652023277615,D,52,22,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.194371487317003,40.456543166432127,D,52,23,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.194360788736258,40.456566949465262,D,52,24,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.19434493826666,40.456581841497638,D,52,25,Torre Faro Zincato 30,Proiettore Thorn,Sodio AP 1000,Rotatoria T.Chianca - Casalabate,
18.195295684064831,40.46475335289567,B,50,1,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Delle Pansee,
18.195740004741488,40.464506239528944,B,50,2,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Delle Pansee,
