X,Y,ID,NUM_TAV,NUMERO_UTE,COMUNE,VIA1_NOME,VIA1_CAMPO,INCROCIO,VIA2_NOME,VIA2_CAMPO,NOTE,CONSERVAZI,TUTTA_NOTT,REGOLATORE,DIFFERENZI,PROTEZIONE,TIPO_ACCEN,TELESEGNAL,MONOFASE,TRIFASE,CLASSEII,PORTATA,Long,Lat
18.1681235808348,40.477986399331,35,5,734 286 401,Lecce - Spiaggia Bella,VIA,PORTO FERRAIO,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2788568.99692999990,4485711.39891000000
18.1723162782511,40.4744951735666,37,5,734 989 584,Lecce - Spiaggia Bella,VIA,MARECHIARO,,,,,Da Revisionare,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2788938.42499999980,4485336.55092999990
18.1722340016965,40.4749788279752,36,5,702 556 601,Lecce - Spiaggia Bella,VIA,PORTO BADISCO,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2788929.51684000020,4485389.99990000020
18.1553334680378,40.4821188069288,29,5,891 652 160,Lecce - Torre Rinalda,VIA,TERMNI IMERESE,,,,,Adeguato,SI,,SI,SI,Interruttore Crepuscolare,Assente,,SI,SI,17,2787468.15589000010,4486131.33155000020
18.1581476389825,40.4797269013691,30,5,702 556 643,Lecce - Torre Rinalda,STRADA PROV.LE,SURBO - TORRE RINALDA,angolo,,,,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2787716.25584000020,4485874.30226999990
18.1560414720216,40.4780319848758,31,5,894 217 260,Lecce - Torre Rinalda,VIA,MARINA DI CECINA,,,,,,,,,,,,,,,,2787544.42341999990,4485679.72269999980
18.162417843655,40.4785353984928,32,5,702 556 686,Lecce - Torre Rinalda,VIA,LECCE,,,,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2788083.04442999980,4485754.98727000040
18.164859031116,40.4777135959784,33,5,702 556 619,Lecce - Torre Rinalda,VIA,VENTIMIGLIA,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2788293.29620000020,4485671.16944000030
18.1770993499459,40.4708572119291,38,5,734 287 768,Lecce - Spiaggia Bella,VIA,PORTOFINO,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2789358.53695000010,4484947.23096999990
18.1776748972212,40.467929573292,39,5,734 989 576,Lecce - Spiaggia Bella,VIA,PROVINCIALE SPIAGGIA BELLA,angolo,VIA,TORVAIANICA,,Adeguato,SI,STB45,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2789419.05342999990,4484623.93487000000
18.1834450459684,40.4661793882019,40,5,734 283 495,Lecce - Spiaggia Bella,VIA,USTICA,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2789915.36981000010,4484447.25923000000
18.1840816082275,40.4652583009084,41,5,734 278 688,Lecce - Spiaggia Bella,VIA,DEGLI AMICI,,,,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2789973.04323000000,4484346.93996000010
18.183567193774,40.4637982946406,42,5,734 277 738,Lecce - Spiaggia Bella,VIA,DEGLI ALLORI,angolo,VIA,CHIOGGIA,,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2789935.27119999980,4484183.26116000020
18.1840543564682,40.463060570323,43,5,734 277 495,Lecce - Spiaggia Bella,VIA,IDUME,angolo,VIA,CHIOGGIA,,Adeguato,SI,STB21,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2789979.54165000000,4484102.84327999970
18.1864480875044,40.4571848252202,45,10,891 652 127,Lecce - Torre Chianca,VIA,DEI BERSAGLIERI,,,,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2790206.11034000010,4483457.79284000020
18.1810767545431,40.4511828381069,44,9,732 338 756,Lecce - Torre Chianca,VIA,DEL GRILLO,,,,CAMPING SOLICARA,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2789773.72074999990,4482773.22310000010
18.1913728296723,40.4649450747003,49,6,734 294 497,Lecce - Torre Chianca,VIA,DEL BAMBU',angolo,VIA,DELL' IMPIA,,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2790592.61396000020,4484334.51130000040
18.1951550312282,40.4639671596537,50,6,734 975 567,Lecce - Torre Chianca,VIALE,ZEFIRO,angolo,VIA,DELLE PANSEE,,Adeguato,SI,STB45,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2790917.28869999990,4484237.54678000040
18.1945150697531,40.4630721064327,51,6,702 557 399,Lecce - Torre Chianca,VIA,DELLE CAMELIE,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2790866.61691999990,4484136.20323000010
18.1948916205974,40.4599684461059,52,10,702 557 224,Lecce - Torre Chianca,VIALE,ZEFIRO,angolo,VIA,DEL CEDRO,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2790911.03292000010,4483792.76116999980
18.1892704023699,40.4538810006208,47,10,734 294 471,Lecce - Torre Chianca,VIA,DELLE MAMMOLE,,,,PROVINCIALE PER TORRE CHIANCA MASS.GELSI,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2790458.74037999990,4483099.62127999960
18.1922041003996,40.4519744166243,53,10,702 523 974,Lecce - Torre Chianca,VIA,DELLE PETUNIE,,,,SULLA PROVINCIALE PER TORRE CHIANCA,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2790715.22715999980,4482896.93415999970
18.1889854956696,40.4487954317699,48,10,732 463 143,Lecce - Torre Chianca,VIA,LECCE - TORRE CHIANCA,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2790454.98691000000,4482534.09920999970
18.1977952455784,40.4626799051049,55,6,702 557 534,Lecce - Torre Chianca,VIA,DEL SAMBUCO,angolo,VIA,DElLE PANSEE,,Adeguato,SI,,SI,SI,Interruttore Crepuscolare,Assente,,SI,SI,16,2791146.37161999990,4484102.73797000010
18.1980509659653,40.4612761543098,57,10,890 387 357,Lecce - Torre Chianca,VIA,DEL TRIFOGLIO,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2791173.70953000010,4483947.66605000010
18.1998031994675,40.4669246585128,54,6,734 974 951,Lecce - Torre Chianca,VIA,DELLE VIOLETTE,,,,,Adeguato,SI,STB55,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,84,2791299.55817000010,4484580.20866000000
18.2004520644491,40.462682710898,56,6,702 557 411,Lecce - Torre Chianca,VIA,DEL FANELLO,angolo,VIA,DELLA STARNA,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2791371.67368000000,4484111.22214999980
18.2001709256886,40.458636343628,58,10,890 387 446,Lecce - Torre Chianca,VIA,DEL GINEPRO,incrocio,VIA,DELLA STARNA,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2791364.13218999980,4483661.08937000020
